timestamp,temperature_C
1689960600.0,38.35
1689960660.0,38.35
1689960720.0,38.35
1689960780.0,38.35
1689960840.0,38.38
1689960900.0,38.38
1689960960.0,38.38
1689961020.0,38.38
1689961080.0,38.38
1689961140.0,38.41
1689961200.0,38.41
1689961260.0,38.41
1689961320.0,38.41
1689961380.0,38.41
1689961440.0,38.44
1689961500.0,38.44
1689961560.0,38.44
1689961620.0,38.44
1689961680.0,38.41
1689961740.0,38.41
1689961800.0,38.41
1689961860.0,38.41
1689961920.0,38.41
1689961980.0,38.41
1689962040.0,38.41
1689962100.0,38.44
1689962160.0,38.44
1689962220.0,38.44
1689962280.0,38.44
1689962340.0,38.44
1689962400.0,38.44
1689962460.0,38.44
1689962520.0,38.44
1689962580.0,38.44
1689962640.0,38.41
1689962700.0,38.41
1689962760.0,38.41
1689962820.0,38.38
1689962880.0,38.38
1689962940.0,38.38
1689963000.0,38.38
1689963060.0,38.35
1689963120.0,38.35
1689963180.0,38.35
1689963240.0,38.35
1689963300.0,38.35
1689963360.0,38.35
1689963420.0,38.35
1689963480.0,38.35
1689963540.0,38.35
1689963600.0,38.35
1689963660.0,38.35
1689963720.0,38.32
1689963780.0,38.32
1689963840.0,38.32
1689963900.0,38.32
1689963960.0,38.32
1689964020.0,38.28
1689964080.0,38.28
1689964140.0,38.28
1689964200.0,38.32
1689964260.0,38.32
1689964320.0,38.32
1689964380.0,38.32
1689964440.0,38.32
1689964500.0,38.32
1689964560.0,38.32
1689964620.0,38.28
1689964680.0,38.28
1689964740.0,38.28
1689964800.0,38.32
1689964860.0,38.32
1689964920.0,38.32
1689964980.0,38.28
1689965040.0,38.28
1689965100.0,38.28
1689965160.0,38.28
1689965220.0,38.28
1689965280.0,38.28
1689965340.0,38.28
1689965400.0,38.28
1689965460.0,38.28
1689965520.0,38.28
1689965580.0,38.28
1689965640.0,38.28
1689965700.0,38.28
1689965760.0,38.25
1689965820.0,38.25
1689965880.0,38.25
1689965940.0,38.25
1689966000.0,38.25
1689966060.0,38.25
1689966120.0,38.25
1689966180.0,38.22
1689966240.0,38.22
1689966300.0,38.22
1689966360.0,38.22
1689966420.0,38.22
1689966480.0,38.22
1689966540.0,38.22
1689966600.0,38.22
1689966660.0,38.22
1689966720.0,38.25
1689966780.0,38.25
1689966840.0,38.25
1689966900.0,38.25
1689966960.0,38.25
1689967020.0,38.25
1689967080.0,38.28
1689967140.0,38.32
1689967200.0,38.32
1689967260.0,38.32
1689967320.0,38.32
1689967380.0,38.32
1689967440.0,38.32
1689967500.0,38.32
1689967560.0,38.35
1689967620.0,38.35
1689967680.0,38.35
1689967740.0,38.32
1689967800.0,38.32
1689967860.0,38.28
1689967920.0,38.28
1689967980.0,38.25
1689968040.0,38.25
1689968100.0,38.22
1689968160.0,38.22
1689968220.0,38.22
1689968280.0,38.19
1689968340.0,38.19
1689968400.0,38.16
1689968460.0,38.16
1689968520.0,38.16
1689968580.0,38.16
1689968640.0,38.13
1689968700.0,38.13
1689968760.0,38.13
1689968820.0,38.13
1689968880.0,38.19
1689968940.0,38.22
1689969000.0,38.22
1689969060.0,38.19
1689969120.0,38.19
1689969180.0,38.16
1689969240.0,38.16
1689969300.0,38.13
1689969360.0,38.13
1689969420.0,38.13
1689969480.0,38.13
1689969540.0,38.13
1689969600.0,38.13
1689969660.0,38.13
1689969720.0,38.16
1689969780.0,38.16
1689969840.0,38.16
1689969900.0,38.19
1689969960.0,38.19
1689970020.0,38.19
1689970080.0,38.22
1689970140.0,38.22
1689970200.0,38.22
